"","Date","Day","Site","Year","SiteYear","lnMeanmasslarvae","lnvariancemasslarvae","lnStdevmasslarvae","lnSterror"
"1","1-Jun-17","1-Jun-17","East",2017,"East2017",4.60397226465135,0.0185121792755715,0.136059469628437,0.0277730229386146
"2","1-Jun-17","1-Jun-17","Vulgaris",2017,"Vulgaris2017",4.71129949614305,0.0659537427695548,0.2568146077807,0.0387162588495849
"3","1-Jun-17","1-Jun-17","Vulgaris road",2017,"Vulgaris road2017",4.80463428114637,0.0207824343055831,0.144161140067575,0.0212554004930834
"4","1-Jun-17","1-Jun-17","Vulgaris small",2017,"Vulgaris small2017",4.51237999600399,0.0952690431339914,0.30865683717357,0.0494246494959211
"5","13-Jun-11","13-Jun-17","Black",2011,"Black2011",4.99352614037031,0.0239639579446145,0.154802964908992,0.0228244519647596
"6","13-Jun-11","13-Jun-17","East",2011,"East2011",4.76942528897136,0.037297311995845,0.19312512005393,0.0278752100126039
"7","14-May-12","14-May-17","Black",2012,"Black2012",3.98317441546787,0.17071316101957,0.413174492217962,0.0590249274597088
"8","14-May-12","14-May-17","East",2012,"East2012",3.04766692519046,0.650677990804271,0.806646137289624,0.114076990739086
"9","14-May-12","14-May-17","Ice",2012,"Ice2012",3.2344006216373,0.177577403266705,0.421399339423669,0.0642627968012136
"10","14-May-12","14-May-17","Vulgaris",2012,"Vulgaris2012",3.83439595997925,0.357900242790981,0.598247643364335,0.0863496094846145
"11","17-May-17","17-May-17","East",2017,"East2017",2.35790512595259,1.27937896876172,1.13109635697483,0.21767959539294
"12","17-May-17","17-May-17","Ice",2017,"Ice2017",2.65838454811804,0.335962671166001,0.579622869774823,0.0905218840494037
"13","17-May-17","17-May-17","Oil",2017,"Oil2017",4.26004171047144,0.207459340050575,0.455477046678068,0.0657424488773195
"14","17-May-17","17-May-17","SBS",2017,"SBS2017",1.52479939631889,1.52914747343538,1.23658702622799,0.467385963698309
"15","17-May-17","17-May-17","ShotgunFairy",2017,"ShotgunFairy2017",2.26180218735756,0.302766161776071,0.550241912049665,0.129693262434457
"16","17-May-17","17-May-17","Target",2017,"Target2017",3.24185211468116,0.464446544682332,0.681503150896848,0.393466027623874
"17","17-May-17","17-May-17","Vulgaris",2017,"Vulgaris2017",3.16553927442151,0.224365608758619,0.473672469918423,0.0722343744684731
"18","17-May-17","17-May-17","Vulgaris road",2017,"Vulgaris road2017",2.33658001783695,0.440335219245949,0.66357759097633,0.109091483955037
"19","21-May-12","21-May-17","Black",2012,"Black2012",4.89484079024309,0.153849989910171,0.392237160287205,0.0566145575194981
"20","21-May-12","21-May-17","East",2012,"East2012",3.8296539609986,0.687394173583611,0.829092379402688,0.132761032047619
"21","21-May-12","21-May-17","Ice",2012,"Ice2012",4.09951875734538,0.342936049628614,0.585607419376338,0.0863431034516685
"22","21-May-12","21-May-17","Vulgaris",2012,"Vulgaris2012",4.53282908563752,0.438820386234493,0.662435193988433,0.0976707408275033
"23","23-May-11","23-May-17","Black",2011,"Black2011",2.7849788169395,0.162305845212674,0.402871996064102,0.0600566112953574
"24","23-May-11","23-May-17","East",2011,"East2011",2.62200065473011,0.245764351332508,0.495746257003024,0.0723120235628591
"25","23-May-11","23-May-17","Ice",2011,"Ice2011",2.49593202959944,0.231431611185771,0.481073394801428,0.0760643824640959
"26","23-May-11","23-May-17","Vulgaris",2011,"Vulgaris2011",2.25399294056212,0.504164972506618,0.710045753812117,0.107043424971812
"27","23-May-17","23-May-17","Mozvalley",2017,"Mozvalley2017",3.48907939875481,0.224995171210175,0.474336559006551,0.126771777844557
"28","23-May-17","23-May-17","SeahorseWetland",2017,"SeahorseWetland2017",3.25343867603195,0.119759518126771,0.346062881752393,0.115354293917464
"29","23-May-17","23-May-17","Vulgaris small",2017,"Vulgaris small2017",2.79237632777332,0.360289365203029,0.600241089232509,0.102940497547774
"30","25-May-17","25-May-17","East",2017,"East2017",3.3345103389782,0.873599221807123,0.934665299348983,0.162704344413802
"31","25-May-17","25-May-17","Oil",2017,"Oil2017",4.90896355555473,0.0444004820509858,0.210714218910319,0.0310681166257886
"32","26-May-17","26-May-17","Vulgaris",2017,"Vulgaris2017",4.4877092604845,0.0767419205708769,0.27702332134836,0.0422456604544147
